lang,n,iters,ns_per_op,total_ms
C,10000000,5,3465587.00,17.328
C++,10000000,5,6418073.20,32.090
Nim,10000000,5,2723704.60,13.619
NimDanger,10000000,5,2741616.80,13.708
D,10000000,5,4100540.00,20.503
Rust,10000000,5,4861028.00,24.305
Python,10000000,5,15238029.00,76.190
Julia,10000000,5,1.6274288e6,8.137
C,1000000,50,239411.00,11.971
C++,1000000,50,668449.62,33.422
Nim,1000000,50,253221.36,12.661
NimDanger,1000000,50,252953.86,12.648
D,1000000,50,412926.00,20.646
Rust,1000000,50,509414.18,25.471
Python,1000000,50,1253631.40,62.682
Julia,1000000,50,184812.52,9.241
C,100000,500,22406.49,11.203
C++,100000,500,58448.39,29.224
Nim,100000,500,28593.32,14.297
NimDanger,100000,500,24771.13,12.386
D,100000,500,32057.60,16.029
Rust,100000,500,34111.72,17.056
Python,100000,500,26356.64,13.178
Julia,100000,500,11228.48,5.614
C,10000,5000,2361.78,11.809
C++,10000,5000,5632.45,28.162
Nim,10000,5000,2534.43,12.672
NimDanger,10000,5000,2396.23,11.981
D,10000,5000,3196.58,15.983
Rust,10000,5000,3397.81,16.989
Python,10000,5000,2888.42,14.442
Julia,10000,5000,1837.34,9.187
C,1000,50000,225.86,11.293
C++,1000,50000,673.09,33.654
Nim,1000,50000,240.42,12.021
NimDanger,1000,50000,239.65,11.982
D,1000,50000,328.14,16.407
Rust,1000,50000,345.20,17.260
Python,1000,50000,616.67,30.833
Julia,1000,50000,208.31,10.415
C,100,500000,26.26,13.130
C++,100,500000,77.50,38.748
Nim,100,500000,31.68,15.841
NimDanger,100,500000,32.24,16.122
D,100,500000,39.31,19.657
Rust,100,500000,52.90,26.449
Python,100,500000,307.04,153.518
Julia,100,500000,36.15,18.075
C,10,2000000,16.29,32.576
C++,10,2000000,8.04,16.085
Nim,10,2000000,13.79,27.576
NimDanger,10,2000000,9.37,18.745
D,10,2000000,8.75,17.503
Rust,10,2000000,15.35,30.697
Python,10,2000000,264.66,529.315
Julia,10,2000000,15.9,31.803
